"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp","LocalConn_amyllapp","LocalConn_antrseri","LocalConn_fomipini","LocalConn_fomirose","LocalConn_gloesepi","LocalConn_phelferr","LocalConn_phelnigr","LocalConn_phelviti","LocalConn_phlecent","LocalConn_tricabie"
1,60.8350471080561,2.47368421052632,24.0052631578947,114,354,791.400461585903,2745.87556671583,38361.8404421293,90261.8743187191,450.7566,5.6075,NA,NA,NA,NA,NA,1,NA,1,NA,NA
2,147.14033258264,2.33846153846154,20.9153846153846,112,242,963.390169533983,3170.6808565028,68604.3717065466,176986.091712705,459.89812,5.44905,NA,NA,1,NA,NA,1,NA,NA,NA,1
3,63.9313545149948,2.12727272727273,15.3018181818182,112,219,1398.69230807284,5607.99785106896,99736.5369843322,218543.653740851,458.87895,5.53866,0,1,1,0,0,1,0,0,0,1
4,83.2820999904032,2.17283950617284,14.4148148148148,122,262,2063.98635456509,6895.38990105611,99926.6205153151,216308.771200102,459.50548,5.29731,NA,NA,1,NA,NA,1,NA,NA,NA,NA
5,64.7894364379307,2.28947368421053,18.2368421052632,122,326,4781.55418598906,16188.3800414184,145718.965449573,261481.684824007,461.64412,5.28366,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7,188.087264167443,2.51612903225806,26.2129032258064,172,333,588.065130545315,987.919398878994,12284.7852327359,33808.4817716331,435.89204,5.1571,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
9,70.0696568740323,1.96551724137931,22.1793103448276,112,241,1627.38528765624,5781.55076723423,97885.2803010544,214294.958278223,459.50548,5.29731,0,0,0,0,0,0,0,0,0,1
11,107.200716563037,2.07575757575758,18.7909090909091,129,196,2035.09403681727,8524.88490961545,137196.075792471,264161.422580066,461.64412,5.28366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,48.3639223465694,2.39473684210526,17.8131578947368,179,268,2015.41566428765,4458.09964858991,55614.9200100278,140019.284183063,436.09927,3.88143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,175.16731630975,2.28571428571429,24.0444444444444,157,258,2881.51975598651,6673.40836038866,69845.1213942834,157374.592897125,457.36864,3.91599,1,NA,NA,NA,NA,1,NA,NA,1,NA
16,66.0885211945267,2,17.0932203389831,210,234,1666.51228484087,3673.71838937552,54981.7639508521,144925.811446427,440.72877,3.87657,NA,NA,NA,NA,NA,1,NA,NA,NA,1
18,49.4203349916256,2.43333333333333,19.7533333333333,122,225,321.130502155625,1366.55340713955,30779.231982805,76947.5878721752,415.85162,4.1739,1,NA,NA,1,NA,1,NA,NA,1,NA
