"StandID","amyllapp_T1","antrseri_T1","fomipini_T1","fomirose_T1","gloesepi_T1","phelferr_T1","phelnigr_T1","phelviti_T1","phlecent_T1","tricabie_T1","amyllapp_T2","antrseri_T2","fomipini_T2","fomirose_T2","gloesepi_T2","phelferr_T2","phelnigr_T2","phelviti_T2","phlecent_T2","tricabie_T2"
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
336,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
339,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
363,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
364,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
365,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
367,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
372,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1
374,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
380,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
381,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
382,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
383,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
384,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
385,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
386,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1
387,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
388,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
389,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1
390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
391,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
403,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
405,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
408,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
409,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
411,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
412,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
413,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
415,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
418,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
419,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
421,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
424,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
426,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
440,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
442,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
444,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
446,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
447,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
449,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
452,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
453,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
455,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
460,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
461,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
462,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
463,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
472,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
474,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1
475,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
476,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
477,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
479,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
