"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp"
140,4.53727534038848,1.27272727272727,19.9454545454545,10,256,348.338968023201,924.039966807822,19673.7878291855,57446.3706167852,430.94454,3.91753
183,0.146541683721798,3.5,10.05,18,63,67.699407163717,418.194082415766,21548.257071611,61417.0304840086,423.15868,5.04581
186,1.00562918837163,3.33333333333333,18.1,20,106,158.626820393198,654.117636276228,11128.88100701,25521.2039243745,422.20792,5.18654
196,3.88742163743041,3,23.65,18,113,129.422906499542,643.578274675043,20686.7504645854,56426.0073523622,421.29222,4.65157
198,4.85287070245642,3,15.5777777777778,18,110,773.498617092955,2798.74629127256,55366.8046365104,136729.003020459,442.06528,3.97166
201,0.890470340267811,2.4,11.12,18,67,124.802401128929,787.811764089866,17541.9019520593,43194.7791211869,403.64989,4.82614
203,2.12897417742123,2.33333333333333,16.2666666666667,18,196,34.8026647258409,245.701369322953,12653.5113711926,37755.8934135726,409.93761,4.55169
215,0.398785917465054,3,14.5,18,110,540.231660281929,2920.65463823897,70691.6053104286,171011.033019292,463.36101,4.14007
226,1.17014508869177,3.4,14.2,19,27,135.515604620532,723.026338850452,32710.9082654801,91685.6830121807,443.35405,3.80139
234,0.729110652143206,2.5,17.15,17,70,291.138864670131,1725.271284497,47888.7600526604,126082.617279577,403.42534,3.73922
242,0.69511389562134,4,25,17,72,256.004832399153,1022.87409249069,27705.1722081452,72842.5413009722,430.15346,3.80764
246,0.0840007879446177,2,10,18,124,125.831206501634,669.209644359921,22483.484013293,60410.8739873869,411.08614,3.925
249,1.18859324186684,3,14,18,129,456.77772964121,2181.70015065448,54027.2422700556,135903.886653334,433.4637,3.69442
250,1.53360454249561,3,15.26,20,111,234.009415634142,1008.00281985896,20753.2682562188,55051.4219932849,425.38538,3.71721
252,4.26324283425983,3.07692307692308,16.2769230769231,18,94,197.861932741449,888.111371221003,19888.6115498634,54753.1529180707,431.50848,3.63899
255,2.34524447933613,3.5,16.15,18,58,121.833289706304,781.595850052503,32556.3403623126,91251.8485995823,456.06638,3.0032
256,0.465164334118442,2,16,18,107,485.579893923522,1716.58085185841,38715.7713079469,102875.878972169,439.39801,3.44313
261,9.2834749801715,2.5,26.3,18,24,109.606875890861,620.23025518026,31188.2466181697,88580.2710715736,417.87226,3.08766
262,0.389508401659922,2,13,19,72,527.800485157322,2248.18141088306,49436.0763495384,125760.021405055,397.44731,3.36933
263,1.26210354557864,2.375,13.325,18,69,222.868465071088,1670.18768173029,50451.3567402655,127502.14460474,397.99899,3.37085
265,6.02204041784994,3,24.4,17,34,20.6837487236862,163.485129815446,14120.4601878218,48190.5626169808,428.427,3.22902
268,0.231597620549708,3,12.3,18,34,213.64957244067,1045.16040945745,33848.4772205359,90161.8946119195,424.53364,3.09214
279,0.372801640426616,2,11.3,18,38,200.05895711557,566.57539487285,16845.9944422891,57852.779799988,477.34327,3.09155
282,0.10471975511966,2,10,17,109,345.201252924604,1701.90478946051,42167.7194916383,100272.862099638,453.48298,2.58422
283,1.27957942633043,2.9,11.73,17,89,465.169047276401,2254.46593187921,54981.5035947818,138399.203445456,462.34224,2.71208
285,5.39297562889367,2.65217391304348,13.8739130434783,16,248,2797.3209941011,7867.88238454543,85491.1299105489,170834.938842087,467.96824,2.29435
286,10.0496061413005,3,18.36875,17,167,1955.50478587798,5742.15102244616,71840.7826226299,155672.48171952,449.37477,2.88853
287,0.837456623046433,2.33333333333333,12.8666666666667,20,72,668.368138119881,2089.6049407373,40668.5603982035,102407.947097583,455.36954,2.81418
288,0.354457750598591,3,27,18,189,419.34457494484,1524.88856495469,34482.12878874,89603.2882490106,450.80005,2.66661
290,0.354410921233099,2,20,18,22,204.918244409537,1208.0341231283,40749.9796938226,112570.713483688,462.44814,2.71533
293,1.72311824391865,2.5,15.55,18,32,1273.18305633137,3755.43144977485,50280.8651375987,126121.720778479,435.35916,2.71125
295,0.307747910901574,2,12.3,19,45,439.508495559045,2617.00631594475,108098.432730904,293216.359760358,498.82645,1.61558
297,1.91895112009295,3.5,18.2166666666667,19,48,578.331067771958,2209.25114701169,53130.4494390509,138677.326109576,445.80005,2.54734
299,0.796915976388851,3.4,12.46,18,31,750.915360936865,2417.37338341351,35323.2426726883,86611.4224897199,430.06094,2.30508
301,0.547717044199295,2.33333333333333,12.6666666666667,18,28,116.983776460152,902.229500854793,40733.2236044525,109704.113058687,465.47962,2.20411
304,0.51603113704473,2,17,18,41,2759.87993216869,6497.44729785601,54830.2200075849,124418.320101699,479.67115,1.75457
305,9.46402711352937,2.8,16.62,18,39,1197.2116631718,4619.54851046338,54709.2694452225,120078.405507622,481.20068,1.62663
306,4.12073123625059,2.75,18.725,18,24,1832.20189761397,5449.55670807788,56389.8957914433,140045.567649784,476.9185,2.07157
307,1.72893488503248,1.5,13.3,18,86,580.461480830487,1953.35767191231,39109.6358172177,108338.741560427,463.26275,2.61105
308,0.169412251390633,3,13.3,18,19,966.803817428775,4860.45653435256,118263.743690926,287231.028699782,502.0683,1.54633
310,0.577918057951188,3.5,14.25,18,43,1075.82630387093,3280.008729848,64775.2940744352,180643.81749714,478.32423,1.86764
400,1.14155695359836,2,14.4333333333333,10,285,64.2008632090203,307.393262443361,9864.18695232683,29580.8938224923,417.71472,5.1033
404,3.50967685138388,2.5,19.15,10,355,187.842797544355,722.103811619426,15565.7229057944,38950.4317787299,425.97632,5.15381
406,0.894971867707809,0.666666666666667,11.05,10,171,626.41696513833,1721.755831454,17818.7122088212,39309.0245963175,423.36492,5.10379
417,2.59016994889231,1.8,14.36,10,152,211.862320229642,1064.13546643062,17969.6111958444,43799.6337859115,403.64989,4.82614
430,0.574126057443535,2,13.6666666666667,10,71,534.212883264634,1923.2568228576,42343.2781381023,108425.642786196,424.7453,4.02192
433,16.3910187544984,1.25925925925926,14.9444444444444,10,80,413.813220160097,1038.97310403684,20353.4397006478,56153.7301722684,426.11727,3.85416
434,9.06061196492027,1.39285714285714,14.7821428571429,10,206,380.024357100112,1696.90068956656,35186.9158441886,85181.83015859,441.7195,3.6048
435,0.706355535198239,1.75,10.825,10,184,97.4071261828627,642.818524943886,24294.4032956171,68830.9857097134,435.50341,3.71846
436,3.73648062077617,2.33333333333333,14.4571428571429,10,310,273.132262457164,1243.78484233023,30595.3113426578,80530.1516917642,431.53918,4.05037
445,0.717583166371415,2,25,10,238,264.650015420599,975.066455343845,28183.1062129944,74481.3666635045,457.32306,3.15751
466,0.672791701720339,2,17.5,10,15,540.518700624169,2002.45754258965,51270.0920133741,140893.115607879,458.42813,2.08143
